Clase,Confianza (%),Latencia (ms),Timestamp
Bacterial Spot,100.0,167,1756370180981
Bacterial Spot,99.9,159,1756370207075
Bacterial Spot,60.4,159,1756370225846
Septoria Leaf Spot,68.0,160,1756370237461
Septoria Leaf Spot,95.1,161,1756370273317
Bacterial Spot,100.0,180,1756370289094
Bacterial Spot,100.0,159,1756370621886
Bacterial Spot,82.7,159,1756370638611
Septoria Leaf Spot,44.7,157,1756370649622
Bacterial Spot,100.0,159,1756370668520
Bacterial Spot,99.9,158,1756370675269
Early Blight,27.0,159,1756370683207
Bacterial Spot,100.0,160,1756370709033
Bacterial Spot,100.0,158,1756370724226
Bacterial Spot,100.0,158,1756370733247
Bacterial Spot,99.1,159,1756370746748
Bacterial Spot,100.0,159,1756370758577
Bacterial Spot,99.7,158,1756370778876
Bacterial Spot,99.5,159,1756370789337
Septoria Leaf Spot,92.9,158,1756370802853
Bacterial Spot,99.5,159,1756370813915
Early Blight,56.0,158,1756370831056
Early Blight,100.0,158,1756370835601
Early Blight,100.0,159,1756370840213
Early Blight,96.7,179,1756370843994
Early Blight,100.0,179,1756370847118
Septoria Leaf Spot,62.4,179,1756370853117
Early Blight,93.8,179,1756370859115
Early Blight,52.2,179,1756370865297
Early Blight,98.3,180,1756370872458
Leaf Mold,31.4,179,1756370879138
Early Blight,52.2,180,1756370886216
Leaf Mold,81.3,179,1756370893585
Early Blight,95.5,179,1756370899950
Early Blight,73.6,180,1756370906635
Early Blight,86.1,179,1756370913534
Early Blight,100.0,179,1756370919784
Early Blight,60.7,178,1756370926682
Early Blight,99.9,179,1756370933066
Leaf Mold,81.3,178,1756370940066
Early Blight,100.0,179,1756370946817
Early Blight,79.0,179,1756370959600
Healthy,100.0,179,1756370978748
Healthy,100.0,180,1756370981571
Healthy,100.0,179,1756370984177
Healthy,99.9,179,1756370986533
Healthy,100.0,179,1756370988907
Healthy,100.0,179,1756370993903
Bacterial Spot,56.7,179,1756371001805
Healthy,99.7,179,1756371012080
Healthy,100.0,179,1756371018681
Healthy,99.5,179,1756371028170
Leaf Mold,36.4,180,1756371099533
Healthy,99.4,178,1756371120069
Healthy,100.0,187,1756371130484
Healthy,100.0,179,1756371133418
Healthy,99.9,179,1756371145499
Septoria Leaf Spot,53.1,179,1756371153568
Healthy,100.0,179,1756371162090
Healthy,100.0,179,1756371168923
Healthy,100.0,179,1756371186466
Tomato Mosaic Virus,62.3,179,1756371194825
Healthy,100.0,178,1756371208176
Late Blight,99.5,179,1756371223377
Late Blight,99.9,178,1756371228437
Late Blight,96.6,178,1756371232212
Powdery Mildew,48.6,179,1756371235170
Late Blight,100.0,179,1756371238914
Late Blight,99.8,179,1756371242840
