filename,group_id,has_transformations,group_size,transform_type,verification_method
5a601145194746c2_pm30.jpg,pm_30,YES,8,identity,pattern_confirmed
de4198d6491e42c8_pm30_lower.jpg,pm_30,YES,8,brightness_low,pattern_confirmed
37afbe5b479df555_pm30_change_180.jpg,pm_30,YES,8,rotate_180,pattern_confirmed
d23b0bcc2e31cba5_pm30_hight.jpg,pm_30,YES,8,brightness_high,pattern_confirmed
4a7fb6260ff6f87b_pm30_mirror.jpg,pm_30,YES,8,mirror_horizontal,pattern_confirmed
74641351f367a1ec_pm30_change_90.jpg,pm_30,YES,8,rotate_90,pattern_confirmed
2e516df99e6a2dc6_pm30_change_270.jpg,pm_30,YES,8,rotate_270,pattern_confirmed
fbe6e34f26652a1e_pm30_mirror_vertical.jpg,pm_30,YES,8,mirror_vertical,pattern_confirmed
d9a7f7f802560ccc_pm35.jpg,pm_35,YES,8,identity,pattern_confirmed
64d10076f3f1aaa7_pm35_change_180.jpg,pm_35,YES,8,rotate_180,pattern_confirmed
6e2e53dfdb08c604_pm35_mirror.jpg,pm_35,YES,8,mirror_horizontal,pattern_confirmed
db5816523701f237_pm35_hight.jpg,pm_35,YES,8,brightness_high,pattern_confirmed
e32e5abd64afe8f7_pm35_mirror_vertical.jpg,pm_35,YES,8,mirror_vertical,pattern_confirmed
24e6df93aeed3181_pm35_change_270.jpg,pm_35,YES,8,rotate_270,pattern_confirmed
ba2422234d83f59a_pm35_change_90.jpg,pm_35,YES,8,rotate_90,pattern_confirmed
f383ca416205ea9b_pm35_lower.jpg,pm_35,YES,8,brightness_low,pattern_confirmed
e1767ffdfbb64819_pm18.jpg,pm_18,YES,8,identity,pattern_confirmed
38c939c2994e4946_pm18_lower.jpg,pm_18,YES,8,brightness_low,pattern_confirmed
8c7bb6216dfcc888_pm18_change_90.jpg,pm_18,YES,8,rotate_90,pattern_confirmed
44e8a8d9ff72678e_pm18_change_180.jpg,pm_18,YES,8,rotate_180,pattern_confirmed
7a38022a665870b8_pm18_change_270.jpg,pm_18,YES,8,rotate_270,pattern_confirmed
687c9b4e7f8ba598_pm18_hight.jpg,pm_18,YES,8,brightness_high,pattern_confirmed
078c5560934aca82_pm18_mirror.jpg,pm_18,YES,8,mirror_horizontal,pattern_confirmed
c6021cc0253ff782_pm18_mirror_vertical.jpg,pm_18,YES,8,mirror_vertical,pattern_confirmed
705cc98b387cd3d6_pm17.jpg,pm_17,YES,8,identity,pattern_confirmed
2fc972cbc100f104_pm17_lower.jpg,pm_17,YES,8,brightness_low,pattern_confirmed
796041655da2d00a_pm17_mirror.jpg,pm_17,YES,8,mirror_horizontal,pattern_confirmed
25dad5f9dc57a7ce_pm17_change_90.jpg,pm_17,YES,8,rotate_90,pattern_confirmed
23de591eb5096a94_pm17_change_270.jpg,pm_17,YES,8,rotate_270,pattern_confirmed
8c39b190e38a953d_pm17_hight.jpg,pm_17,YES,8,brightness_high,pattern_confirmed
c8e36af96d176f90_pm17_change_180.jpg,pm_17,YES,8,rotate_180,pattern_confirmed
a44213b0b17f7e00_pm17_mirror_vertical.jpg,pm_17,YES,8,mirror_vertical,pattern_confirmed
fc90345a8ba98bcc_pm81.jpg,pm_81,YES,8,identity,pattern_confirmed
7451b62020cce60f_pm81_mirror.jpg,pm_81,YES,8,mirror_horizontal,pattern_confirmed
4dd8835e3d5f909d_pm81_change_180.jpg,pm_81,YES,8,rotate_180,pattern_confirmed
1012f19d1221a487_pm81_mirror_vertical.jpg,pm_81,YES,8,mirror_vertical,pattern_confirmed
3eada364e8a5b6b9_pm81_hight.jpg,pm_81,YES,8,brightness_high,pattern_confirmed
31b4f0321e25bb81_pm81_lower.jpg,pm_81,YES,8,brightness_low,pattern_confirmed
bebbe5e8945f448b_pm81_change_90.jpg,pm_81,YES,8,rotate_90,pattern_confirmed
d00ff2817604af05_pm81_change_270.jpg,pm_81,YES,8,rotate_270,pattern_confirmed
a229028fb6bf8ae9_pm40_hight.jpg,pm_40,YES,7,brightness_high,pattern_confirmed
393c54e25c046b50_pm40_change_270.jpg,pm_40,YES,7,rotate_270,pattern_confirmed
0a7851cfe47e7741_pm40_lower.jpg,pm_40,YES,7,brightness_low,pattern_confirmed
8619710e3dd615bb_pm40_change_180.jpg,pm_40,YES,7,rotate_180,pattern_confirmed
fc4f6f0fe26f27c6_pm40_change_90.jpg,pm_40,YES,7,rotate_90,pattern_confirmed
7216a52d4c004723_pm40_mirror.jpg,pm_40,YES,7,mirror_horizontal,pattern_confirmed
5dc6cf1d66fcc5e7_pm40_mirror_vertical.jpg,pm_40,YES,7,mirror_vertical,pattern_confirmed
23f052795a382ed2_pm123.jpg,pm_123,YES,8,identity,pattern_confirmed
795d4788175137be_pm123_change_90.jpg,pm_123,YES,8,rotate_90,pattern_confirmed
cca4113dc4c2d385_pm123_hight.jpg,pm_123,YES,8,brightness_high,pattern_confirmed
c34a6f9e3ac01764_pm123_mirror_vertical.jpg,pm_123,YES,8,mirror_vertical,pattern_confirmed
12a3a9d7740ce04a_pm123_lower.jpg,pm_123,YES,8,brightness_low,pattern_confirmed
cd5074d430504d38_pm123_change_270.jpg,pm_123,YES,8,rotate_270,pattern_confirmed
d1da68359242f692_pm123_change_180.jpg,pm_123,YES,8,rotate_180,pattern_confirmed
3daa0f602b7c2e00_pm123_mirror.jpg,pm_123,YES,8,mirror_horizontal,pattern_confirmed
f7c5ef1de45eca9c_pm37.jpg,pm_37,YES,8,identity,pattern_confirmed
50040a3248e0afd5_pm37_mirror_vertical.jpg,pm_37,YES,8,mirror_vertical,pattern_confirmed
1a904f21dbcf1604_pm37_lower.jpg,pm_37,YES,8,brightness_low,pattern_confirmed
c1aa31fbbf6d9ddf_pm37_change_270.jpg,pm_37,YES,8,rotate_270,pattern_confirmed
c06f7cdb1710150a_pm37_change_180.jpg,pm_37,YES,8,rotate_180,pattern_confirmed
52904d7aaf3737c3_pm37_change_90.jpg,pm_37,YES,8,rotate_90,pattern_confirmed
e7e35e1b09004975_pm37_mirror.jpg,pm_37,YES,8,mirror_horizontal,pattern_confirmed
eb64563a58c9f497_pm37_hight.jpg,pm_37,YES,8,brightness_high,pattern_confirmed
9f4cb0dd27312fd2_pm59.jpg,pm_59,YES,8,identity,pattern_confirmed
a4a1f479d60de8ed_pm59_mirror.jpg,pm_59,YES,8,mirror_horizontal,pattern_confirmed
492f32e09f5f9245_pm59_lower.jpg,pm_59,YES,8,brightness_low,pattern_confirmed
0a57069f267afc3f_pm59_change_90.jpg,pm_59,YES,8,rotate_90,pattern_confirmed
e5835e6de6874b5d_pm59_hight.jpg,pm_59,YES,8,brightness_high,pattern_confirmed
828c4b964219bb65_pm59_mirror_vertical.jpg,pm_59,YES,8,mirror_vertical,pattern_confirmed
f5e0e68f5d928bb6_pm59_change_270.jpg,pm_59,YES,8,rotate_270,pattern_confirmed
578e873d075a4e09_pm59_change_180.jpg,pm_59,YES,8,rotate_180,pattern_confirmed
9be06f5d2cbdd63a_pm149.jpg,pm_149,YES,8,identity,pattern_confirmed
3c70dc5afd786c9a_pm149_hight.jpg,pm_149,YES,8,brightness_high,pattern_confirmed
4e7470686f38b7a3_pm149_change_270.jpg,pm_149,YES,8,rotate_270,pattern_confirmed
fab0226af43f26bc_pm149_mirror_vertical.jpg,pm_149,YES,8,mirror_vertical,pattern_confirmed
003a5f3b6d92b8c5_pm149_change_90.jpg,pm_149,YES,8,rotate_90,pattern_confirmed
4b18056bb18a9af1_pm149_mirror.jpg,pm_149,YES,8,mirror_horizontal,pattern_confirmed
7efa78754b9b57dc_pm149_lower.jpg,pm_149,YES,8,brightness_low,pattern_confirmed
c7700c539a9a5ece_pm149_change_180.jpg,pm_149,YES,8,rotate_180,pattern_confirmed
d75baddee651a289_pm55.jpg,pm_55,YES,8,identity,pattern_confirmed
c6473917d055e21f_pm55_mirror.jpg,pm_55,YES,8,mirror_horizontal,pattern_confirmed
2feca5bab3f3ae65_pm55_change_90.jpg,pm_55,YES,8,rotate_90,pattern_confirmed
a6450314562616e1_pm55_hight.jpg,pm_55,YES,8,brightness_high,pattern_confirmed
83641c51ad75171d_pm55_lower.jpg,pm_55,YES,8,brightness_low,pattern_confirmed
95e12e00231be4e2_pm55_change_180.jpg,pm_55,YES,8,rotate_180,pattern_confirmed
48831485a38e70c5_pm55_change_270.jpg,pm_55,YES,8,rotate_270,pattern_confirmed
16bf203e8402d1c7_pm55_mirror_vertical.jpg,pm_55,YES,8,mirror_vertical,pattern_confirmed
5e11b71841eb68ea_pm24.jpg,pm_24,YES,8,identity,pattern_confirmed
b34543cdd412d8bc_pm24_change_180.jpg,pm_24,YES,8,rotate_180,pattern_confirmed
95cc833a69adb20f_pm24_change_270.jpg,pm_24,YES,8,rotate_270,pattern_confirmed
373b3f6019be3831_pm24_hight.jpg,pm_24,YES,8,brightness_high,pattern_confirmed
57f79f77803a287d_pm24_mirror.jpg,pm_24,YES,8,mirror_horizontal,pattern_confirmed
