filename,group_id,has_transformations,group_size,transform_type,verification_method
b99753e2c1c28074_705249ab_9023_4025_8f6c_9ed74b1b69d9_crnl_l_mold_7014.jpg,mold_7014,YES,3,identity,pattern_confirmed
cdf29589595d4ac8_705249ab_9023_4025_8f6c_9ed74b1b69d9_crnl_l_mold_7014_fliptb.jpg,mold_7014,YES,3,flip_vertical,pattern_confirmed
71d5776cedc07021_705249ab_9023_4025_8f6c_9ed74b1b69d9_crnl_l_mold_7014_180deg.jpg,mold_7014,YES,3,rotate_180,pattern_confirmed
271401a18f435280_blm44.jpg,blm44,YES,8,identity,pattern_confirmed
14022a6270ab2ce8_blm44_change_180.jpg,blm44,YES,8,rotate_180,pattern_confirmed
eef62ba61c348b75_blm44_lower.jpg,blm44,YES,8,brightness_low,pattern_confirmed
c61bd56b0a494138_blm44_change_270.jpg,blm44,YES,8,rotate_270,pattern_confirmed
e71f0c0505ce7c18_blm44_mirror.jpg,blm44,YES,8,mirror_horizontal,pattern_confirmed
97e93f313f0ca124_blm44_hight.jpg,blm44,YES,8,brightness_high,pattern_confirmed
3d5b6eac091b70f6_blm44_mirror_vertical.jpg,blm44,YES,8,mirror_vertical,pattern_confirmed
e575e38d5667afa1_blm44_change_90.jpg,blm44,YES,8,rotate_90,pattern_confirmed
e2ffb0cbdf2d52dd_c3b836a9_0621_4979_a4a0_b57b9488cbeb_crnl_l_mold_8846.jpg,mold_8846,YES,3,identity,pattern_confirmed
26a9b6d3431c5bd7_c3b836a9_0621_4979_a4a0_b57b9488cbeb_crnl_l_mold_8846_180deg.jpg,mold_8846,YES,3,rotate_180,pattern_confirmed
205d9fb50c028160_c3b836a9_0621_4979_a4a0_b57b9488cbeb_crnl_l_mold_8846_fliptb.jpg,mold_8846,YES,3,flip_vertical,pattern_confirmed
68024c2d2bf41b95_a1e5590d_aadc_42f9_9bb1_f7cb8df10e0a_crnl_l_mold_8781.jpg,mold_8781,YES,3,identity,pattern_confirmed
61c92b90eadf2983_a1e5590d_aadc_42f9_9bb1_f7cb8df10e0a_crnl_l_mold_8781_180deg.jpg,mold_8781,YES,3,rotate_180,pattern_confirmed
6b06dc2390fbbc30_a1e5590d_aadc_42f9_9bb1_f7cb8df10e0a_crnl_l_mold_8781_fliptb.jpg,mold_8781,YES,3,flip_vertical,pattern_confirmed
0450a96d978ba789_ormvn_jpg_rf_e37dd679a6b353eb2eb96e6214352fad.jpg,jpg_rf,YES,115,identity,pattern_confirmed
3973f3a5bf666498_leaf_mold_tomato7x1200_jpg_rf_47e9313c0147f578b0887977cd023cba.jpg,jpg_rf,YES,115,identity,pattern_confirmed
eaa558918c7be642_leaf_mold_tomato7x1200_jpg_rf_406ff427b5d2cc532d3a89d6cb1b3d6f.jpg,jpg_rf,YES,115,identity,pattern_confirmed
499b90ad4669e3f6_leaf_mold_tomato4x1200_jpg_rf_6d0b34daa7bdc0e88b110a7c75038bb9.jpg,jpg_rf,YES,115,identity,pattern_confirmed
18e235ca37d7361f_tomato_fulvia2_jpg_rf_25c3f1abe2492d044ce42b1b990ae34b.jpg,jpg_rf,YES,115,identity,pattern_confirmed
0fbdd76c471d1244_fig_2015_opta_jpg_rf_612fa52dcd0e854b4dd3967b4f653979.jpg,jpg_rf,YES,115,identity,pattern_confirmed
75866d813345e4aa_tomato_fulvia_jpg_rf_dbd98ffdaf4f257b71ad3432cbc97130.jpg,jpg_rf,YES,115,identity,pattern_confirmed
00d1ca8352a09c20_607_155_0_jpg_rf_a9a034a65cb66019f0efe658b88e4d55.jpg,jpg_rf,YES,115,identity,pattern_confirmed
64f4fb15d55157af_tomato_fulvia_jpg_rf_f082509d3dbe5f140752f8b598ce6f2f.jpg,jpg_rf,YES,115,identity,pattern_confirmed
b8256e170bbaf940_dscn6689_jpg_rf_416deea1215fd73e47cac75cdcb0d00f.jpg,jpg_rf,YES,115,identity,pattern_confirmed
ac123faf9f88a70b_leaf_mold_tomato4x1200_jpg_rf_7eb8542a15d6cee5ab7fbba1e82bc156.jpg,jpg_rf,YES,115,identity,pattern_confirmed
d9a44025b239a9aa_leaf_mold_tomato6x1200_jpg_rf_6dfb6ca583dcb8e2ae4a55a944ed36a4.jpg,jpg_rf,YES,115,identity,pattern_confirmed
50f815a368f57177_leaf_mold_tomato5x1200_jpg_rf_9de8c99c5b06064ff8fc852dcff7b10a.jpg,jpg_rf,YES,115,identity,pattern_confirmed
