filename,group_id,has_transformations,group_size,transform_type,verification_method
732e35017fcf52e0_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357.jpg,cg_2357,YES,6,identity,pattern_confirmed
aba2065f08cc3ec4_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_new30degfliplr.jpg,cg_2357,YES,6,rotate_30_flip_horizontal,pattern_confirmed
883723a5ceebe115_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_90deg.jpg,cg_2357,YES,6,rotate_90,pattern_confirmed
1d258617fa72f54e_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_180deg.jpg,cg_2357,YES,6,rotate_180,pattern_confirmed
790306e22e2dfeb4_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_newpixel25.jpg,cg_2357,YES,6,pixel_transform,pattern_confirmed
13618663c1ae627b_c1ca36c4_bffc_494d_9199_0753d7319bce_psu_cg_2357_270deg.jpg,cg_2357,YES,6,rotate_270,pattern_confirmed
e43c9da82c1fee85_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235.jpg,cg_2235,YES,6,identity,pattern_confirmed
ba579bb7ba669148_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_new30degfliplr.jpg,cg_2235,YES,6,rotate_30_flip_horizontal,pattern_confirmed
12baffb901028b05_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_newpixel25.jpg,cg_2235,YES,6,pixel_transform,pattern_confirmed
5e4e3c5c3ad4f972_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_270deg.jpg,cg_2235,YES,6,rotate_270,pattern_confirmed
cb06505258031fc3_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_180deg.jpg,cg_2235,YES,6,rotate_180,pattern_confirmed
17190e8b62a655a1_f600fd06_c834_4305_83b2_ee1bd08cea49_psu_cg_2235_90deg.jpg,cg_2235,YES,6,rotate_90,pattern_confirmed
331491c072943f8f_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333.jpg,cg_2333,YES,6,identity,pattern_confirmed
df427ac225062a17_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_newpixel25.jpg,cg_2333,YES,6,pixel_transform,pattern_confirmed
5f5ac20a9ed0fb3f_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_180deg.jpg,cg_2333,YES,6,rotate_180,pattern_confirmed
72af696dae906ad9_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_90deg.jpg,cg_2333,YES,6,rotate_90,pattern_confirmed
a6d7848be9ce416f_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_270deg.jpg,cg_2333,YES,6,rotate_270,pattern_confirmed
93cfd7f1bd0e0ec0_3117475d_3948_45a5_b2c7_630efb8bfab8_psu_cg_2333_new30degfliplr.jpg,cg_2333,YES,6,rotate_30_flip_horizontal,pattern_confirmed
f17385882c3f1f33_a75c61c4_b765_42a1_9896_7937b15ed996_psu_cg_2051.jpg,cg_2051,YES,6,identity,pattern_confirmed
4b02da2a074acfc2_a75c61c4_b765_42a1_9896_7937b15ed996_psu_cg_2051_270deg.jpg,cg_2051,YES,6,rotate_270,pattern_confirmed
f50d5ab6ea307f22_a75c61c4_b765_42a1_9896_7937b15ed996_psu_cg_2051_90deg.jpg,cg_2051,YES,6,rotate_90,pattern_confirmed
e7d792fb537193a5_a75c61c4_b765_42a1_9896_7937b15ed996_psu_cg_2051_newpixel25.jpg,cg_2051,YES,6,pixel_transform,pattern_confirmed
1e222a8004d36c33_a75c61c4_b765_42a1_9896_7937b15ed996_psu_cg_2051_new30degfliplr.jpg,cg_2051,YES,6,rotate_30_flip_horizontal,pattern_confirmed
d87f370e0125f330_a75c61c4_b765_42a1_9896_7937b15ed996_psu_cg_2051_180deg.jpg,cg_2051,YES,6,rotate_180,pattern_confirmed
c0338976882fe4e5_8babd25a_f124_4d1f_a57a_5db347b34f0d_psu_cg_2355.jpg,cg_2355,YES,6,identity,pattern_confirmed
472159a35813e918_8babd25a_f124_4d1f_a57a_5db347b34f0d_psu_cg_2355_90deg.jpg,cg_2355,YES,6,rotate_90,pattern_confirmed
9104e97dff12b806_8babd25a_f124_4d1f_a57a_5db347b34f0d_psu_cg_2355_newpixel25.jpg,cg_2355,YES,6,pixel_transform,pattern_confirmed
48b05a9a07ec4e3c_8babd25a_f124_4d1f_a57a_5db347b34f0d_psu_cg_2355_270deg.jpg,cg_2355,YES,6,rotate_270,pattern_confirmed
c7de992e605b0f19_8babd25a_f124_4d1f_a57a_5db347b34f0d_psu_cg_2355_new30degfliplr.jpg,cg_2355,YES,6,rotate_30_flip_horizontal,pattern_confirmed
c3a175fe1c5f0033_8babd25a_f124_4d1f_a57a_5db347b34f0d_psu_cg_2355_180deg.jpg,cg_2355,YES,6,rotate_180,pattern_confirmed
169b40c8de6da505_c44f307f_dd40_495d_abfa_e2f68dc31ff6_psu_cg_2312.jpg,cg_2312,YES,6,identity,pattern_confirmed
fbb7a1a86c3b96dc_c44f307f_dd40_495d_abfa_e2f68dc31ff6_psu_cg_2312_newpixel25.jpg,cg_2312,YES,6,pixel_transform,pattern_confirmed
7572721c6a031e13_c44f307f_dd40_495d_abfa_e2f68dc31ff6_psu_cg_2312_90deg.jpg,cg_2312,YES,6,rotate_90,pattern_confirmed
05b8ad5bc23516b6_c44f307f_dd40_495d_abfa_e2f68dc31ff6_psu_cg_2312_180deg.jpg,cg_2312,YES,6,rotate_180,pattern_confirmed
a63fc54abafdd6ee_c44f307f_dd40_495d_abfa_e2f68dc31ff6_psu_cg_2312_270deg.jpg,cg_2312,YES,6,rotate_270,pattern_confirmed
